Wall time,Step,Value
1515869783.789227,1,35.26610565185547
1515869859.127743,21,2.158982753753662
1515869924.710878,41,1.964714765548706
1515869990.356187,61,2.010422945022583
1515870057.218699,81,1.7981140613555908
1515870122.984398,101,1.696126103401184
1515870193.976221,121,1.6534721851348877
1515870262.901957,141,1.630305290222168
1515870328.050406,161,1.5693323612213135
1515870393.713136,181,1.6504745483398438
1515870458.790206,201,1.51591157913208
1515870524.000545,221,1.4784971475601196
1515870589.000656,241,1.4855806827545166
1515870653.860564,261,1.499211072921753
1515870718.767305,281,1.5102770328521729
1515870783.151748,301,1.405530333518982
1515870847.724106,321,1.4245657920837402
1515870913.165996,341,1.3572256565093994
1515870974.504818,361,1.440990686416626
1515871035.756453,381,1.2954952716827393
1515871096.78729,401,1.3614444732666016
1515871159.106194,421,1.3167784214019775
1515871231.310731,441,1.3250033855438232
1515871293.447304,461,1.4405543804168701
1515871355.465648,481,1.3681962490081787
1515871420.91394,501,1.1848063468933105
1515871483.107724,521,1.2625490427017212
1515871556.644973,541,1.2570805549621582
1515871633.347498,561,1.2885669469833374
1515871706.336927,581,1.258825659751892
1515871776.398403,601,1.2953580617904663
1515871838.121167,621,1.0712275505065918
1515871898.478034,641,1.293842077255249
1515871958.652454,661,1.3090496063232422
1515872019.227069,681,1.2880631685256958
1515872079.841347,701,1.2741572856903076
1515872140.377563,721,1.1485545635223389
1515872200.945479,741,1.1373077630996704
1515872261.115364,761,1.1362378597259521
1515872322.103525,781,1.2299647331237793
1515872384.067517,801,1.1555343866348267
1515872456.963466,821,1.0883893966674805
1515872526.526507,841,1.1038134098052979
1515872590.934214,861,1.146088719367981
1515872651.678811,881,1.0756094455718994
1515872713.669862,901,1.1293350458145142
1515872774.512859,921,1.0476737022399902
1515872834.909595,941,1.1781561374664307
1515872895.420145,961,0.9636120200157166
1515872955.939505,981,1.1608836650848389
1515873017.705066,1001,0.9283820986747742
1515873079.129775,1021,0.990595281124115
1515873140.98339,1041,1.045717716217041
1515873203.521278,1061,0.9680715203285217
1515873264.59148,1081,0.9783718585968018
1515873326.023091,1101,0.9688057899475098
1515873387.341398,1121,1.0487351417541504
1515873447.642577,1141,1.0477840900421143
1515873508.31587,1161,0.9262898564338684
1515873567.80814,1181,1.0361779928207397
1515873630.219154,1201,1.056886911392212
1515873691.391664,1221,1.041703462600708
1515873750.678561,1241,1.0013213157653809
1515873810.877945,1261,0.8855804204940796
1515886526.2147,1281,0.968430757522583
1515886589.619771,1301,0.9990639090538025
1515886650.920307,1321,0.909649133682251
1515886712.439356,1341,0.9132050275802612
1515886777.623568,1361,0.9149707555770874
1515886851.566539,1381,1.1010284423828125
1515886921.142475,1401,0.8996299505233765
1515886988.751248,1421,0.8434776663780212
1515887052.246688,1441,0.8849757313728333
1515887114.285593,1461,1.0228803157806396
1515887175.962908,1481,0.9788945913314819
1515887239.218508,1501,0.8432835340499878
1515887302.500514,1521,0.9226171970367432
1515887364.383093,1541,0.881558358669281
1515887426.885432,1561,0.9295738339424133
1515887491.047389,1581,0.7835420966148376
1515887554.305719,1601,0.7978552579879761
1515887621.941993,1621,0.8791316747665405
1515887686.523158,1641,1.0276308059692383
1515887748.646376,1661,0.7326260805130005
1515887809.816795,1681,0.8870090246200562
1515887873.016829,1701,0.9816457033157349
1515887936.030186,1721,0.7805083990097046
1515887999.34556,1741,0.79970782995224
1515888064.004597,1761,0.9203081727027893
1515888127.435153,1781,0.9034373760223389
1515888190.660277,1801,0.7510749101638794
1515888255.06095,1821,0.7999414205551147
1515888320.364727,1841,0.8175057172775269
1515888382.879697,1861,0.791610062122345
1515888444.689951,1881,0.9575355052947998
1515888506.004332,1901,0.7843813300132751
1515888567.263087,1921,0.7596287131309509
1515888632.028018,1941,0.814148485660553
1515888694.214983,1961,0.8592283129692078
1515888755.069216,1981,0.8419458866119385
1515888815.451201,2001,0.8598706126213074
1515888876.563896,2021,0.8565229177474976
1515888937.640149,2041,0.699181318283081
1515888998.365334,2061,0.7395007610321045
1515889058.766698,2081,0.8642831444740295
1515889119.64938,2101,0.7800412774085999
1515889180.278255,2121,0.7685970067977905
1515889240.958052,2141,0.6599948406219482
1515889301.52586,2161,0.7919650077819824
1515889363.55121,2181,0.7917654514312744
1515889424.626278,2201,0.731867253780365
1515889485.027185,2221,0.6176842451095581
1515889546.556097,2241,0.7679846882820129
1515889607.392069,2261,0.7385950088500977
1515889667.989798,2281,0.6003918647766113
1515889728.357693,2301,0.7128779888153076
1515889788.464166,2321,0.535002589225769
1515889848.740995,2341,0.8544893860816956
1515889908.969898,2361,0.6380058526992798
1515889968.952685,2381,0.6595476269721985
1515890029.349138,2401,0.6784931421279907
1515890089.649253,2421,0.8305195569992065
1515890151.643687,2441,0.7027884721755981
1515890213.375976,2461,0.5596894025802612
1515890276.10949,2481,0.6199043393135071
1515890336.073423,2501,0.6546335220336914
1515890395.229109,2521,0.5870352387428284
1515890455.261566,2541,0.6954112648963928
1515890515.534311,2561,0.6864086389541626
1515890574.965954,2581,0.6242895722389221
1515905025.831276,2601,0.5861549377441406
1515919633.829893,2621,0.6829659938812256
1515919705.540857,2641,0.5268392562866211
1515919765.961951,2661,0.7288599014282227
1515919834.298502,2681,0.6766126751899719
1515919902.580357,2701,0.7367468476295471
