Wall time,Step,Value
1515869783.789227,1,0.10546875
1515869859.127743,21,0.21484375
1515869924.710878,41,0.2578125
1515869990.356187,61,0.29296875
1515870057.218699,81,0.33984375
1515870122.984398,101,0.35546875
1515870193.976221,121,0.44140625
1515870262.901957,141,0.4140625
1515870328.050406,161,0.4453125
1515870393.713136,181,0.41015625
1515870458.790206,201,0.4609375
1515870524.000545,221,0.47265625
1515870589.000656,241,0.484375
1515870653.860564,261,0.41796875
1515870718.767305,281,0.44921875
1515870783.151748,301,0.48828125
1515870847.724106,321,0.4921875
1515870913.165996,341,0.515625
1515870974.504818,361,0.5
1515871035.756453,381,0.5390625
1515871096.78729,401,0.50390625
1515871159.106194,421,0.5234375
1515871231.310731,441,0.51171875
1515871293.447304,461,0.46875
1515871355.465648,481,0.5078125
1515871420.91394,501,0.578125
1515871483.107724,521,0.5390625
1515871556.644973,541,0.546875
1515871633.347498,561,0.52734375
1515871706.336927,581,0.50390625
1515871776.398403,601,0.5625
1515871838.121167,621,0.625
1515871898.478034,641,0.54296875
1515871958.652454,661,0.54296875
1515872019.227069,681,0.53515625
1515872079.841347,701,0.54296875
1515872140.377563,721,0.5859375
1515872200.945479,741,0.5859375
1515872261.115364,761,0.58984375
1515872322.103525,781,0.578125
1515872384.067517,801,0.59765625
1515872456.963466,821,0.60546875
1515872526.526507,841,0.6171875
1515872590.934214,861,0.58984375
1515872651.678811,881,0.64453125
1515872713.669862,901,0.64453125
1515872774.512859,921,0.609375
1515872834.909595,941,0.5546875
1515872895.420145,961,0.625
1515872955.939505,981,0.59765625
1515873017.705066,1001,0.671875
1515873079.129775,1021,0.67578125
1515873140.98339,1041,0.62109375
1515873203.521278,1061,0.65234375
1515873264.59148,1081,0.6328125
1515873326.023091,1101,0.65625
1515873387.341398,1121,0.63671875
1515873447.642577,1141,0.6015625
1515873508.31587,1161,0.64453125
1515873567.80814,1181,0.65234375
1515873630.219154,1201,0.59375
1515873691.391664,1221,0.61328125
1515873750.678561,1241,0.6328125
1515873810.877945,1261,0.7109375
1515886526.2147,1281,0.68359375
1515886589.619771,1301,0.66015625
1515886650.920307,1321,0.65625
1515886712.439356,1341,0.66796875
1515886777.623568,1361,0.69140625
1515886851.566539,1381,0.58203125
1515886921.142475,1401,0.67578125
1515886988.751248,1421,0.68359375
1515887052.246688,1441,0.66796875
1515887114.285593,1461,0.62109375
1515887175.962908,1481,0.63671875
1515887239.218508,1501,0.703125
1515887302.500514,1521,0.68359375
1515887364.383093,1541,0.6796875
1515887426.885432,1561,0.6875
1515887491.047389,1581,0.703125
1515887554.305719,1601,0.7109375
1515887621.941993,1621,0.6875
1515887686.523158,1641,0.65234375
1515887748.646376,1661,0.734375
1515887809.816795,1681,0.6640625
1515887873.016829,1701,0.64453125
1515887936.030186,1721,0.734375
1515887999.34556,1741,0.71875
1515888064.004597,1761,0.6640625
1515888127.435153,1781,0.66015625
1515888190.660277,1801,0.72265625
1515888255.06095,1821,0.7109375
1515888320.364727,1841,0.7109375
1515888382.879697,1861,0.74609375
1515888444.689951,1881,0.6640625
1515888506.004332,1901,0.70703125
1515888567.263087,1921,0.73046875
1515888632.028018,1941,0.71875
1515888694.214983,1961,0.69140625
1515888755.069216,1981,0.6953125
1515888815.451201,2001,0.7109375
1515888876.563896,2021,0.671875
1515888937.640149,2041,0.765625
1515888998.365334,2061,0.72265625
1515889058.766698,2081,0.67578125
1515889119.64938,2101,0.703125
1515889180.278255,2121,0.765625
1515889240.958052,2141,0.74609375
1515889301.52586,2161,0.73828125
1515889363.55121,2181,0.71484375
1515889424.626278,2201,0.75
1515889485.027185,2221,0.78515625
1515889546.556097,2241,0.72265625
1515889607.392069,2261,0.74609375
1515889667.989798,2281,0.7734375
1515889728.357693,2301,0.75390625
1515889788.464166,2321,0.8203125
1515889848.740995,2341,0.6953125
1515889908.969898,2361,0.8046875
1515889968.952685,2381,0.78515625
1515890029.349138,2401,0.78125
1515890089.649253,2421,0.69921875
1515890151.643687,2441,0.73828125
1515890213.375976,2461,0.78515625
1515890276.10949,2481,0.78515625
1515890336.073423,2501,0.78125
1515890395.229109,2521,0.79296875
1515890455.261566,2541,0.77734375
1515890515.534311,2561,0.77734375
1515890574.965954,2581,0.7734375
1515905025.831276,2601,0.79296875
1515919633.829893,2621,0.73828125
1515919705.540857,2641,0.8046875
1515919765.961951,2661,0.73828125
1515919834.298502,2681,0.7578125
1515919902.580357,2701,0.77734375
